system_base,approach,precision_at_k,recall_at_k,ndcg_at_k,mrr,diversity,novelty,coverage,serendipity
BERT,div_cluster,0.2595,0.300118,0.576381,0.46319899999999997,0.9453779899425655,0.03655080608859775,0.0038850038850038,0.002828025559778889
BERT,div_greedy,0.107,0.084377,0.452592,0.40104100000000004,0.9881398913322677,0.04428321938479943,0.0038850038850038,0.0026515957446807932
BERT,div_semi,0.2095,0.22514200000000004,0.55625,0.49600299999999997,0.9692150433023947,0.040986084027206715,0.0038850038850038,0.002425575862277938
BERT,normal,0.315,0.313189,0.611902,0.5172249999999999,0.9246442979970954,0.03615989367169697,0.0038850038850038,0.002674486254496933
Baseline,div_cluster,0.1955,0.20936900000000003,0.526382,0.438322,0.9561630776697417,0.03885907572688636,0.0038850038850038,0.002787706855791912
Baseline,div_greedy,0.08349999999999999,0.07124799999999999,0.421757,0.341406,0.994782160242949,0.0398567176265786,0.0038850038850038,0.0024367021276595242
Baseline,div_semi,0.141,0.12012,0.48606499999999997,0.414955,0.977806948634255,0.041183329864959727,0.0038850038850038,0.002556180344478161
Baseline,normal,0.207,0.159562,0.503086,0.40248199999999995,0.9458052977378115,0.037590727928723734,0.0038850038850038,0.003027988855116469
MFCC bow,div_cluster,0.248,0.202228,0.539999,0.419131,0.9405158858680095,0.037876767631333096,0.0038850038850038,0.002437234042553141
MFCC bow,div_greedy,0.111,0.102316,0.415976,0.367344,0.990346924570664,0.042717257542004984,0.0038850038850038,0.002401595744680799
MFCC bow,div_semi,0.18350000000000002,0.143553,0.501104,0.423161,0.9716258381562517,0.03962292680357704,0.0038850038850038,0.002332446808510586
MFCC bow,normal,0.2805,0.229287,0.546916,0.43098,0.9279232597197428,0.0381433314832072,0.0038850038850038,0.002581382978723363
ResNet,div_cluster,0.247,0.24961,0.582774,0.513643,0.9439257036181766,0.033973242204342315,0.0038850038850038,0.0028255319148935733
ResNet,div_greedy,0.1215,0.111648,0.481509,0.44689999999999996,0.9903825531084487,0.04011139782212522,0.0038850038850038,0.002497611048898796
ResNet,div_semi,0.18899999999999997,0.158687,0.5496759999999999,0.530263,0.9700591583902727,0.0377339817518933,0.0038850038850038,0.002429787234042503
ResNet,normal,0.2955,0.257903,0.593266,0.539077,0.92410662357494,0.0343237276069833,0.0038850038850038,0.0027196808510637858
TFIDF,div_cluster,0.225,0.19436299999999998,0.568138,0.521973,0.9480351194930998,0.03685738488282758,0.0038850038850038,0.002788759623772091
TFIDF,div_greedy,0.1075,0.070793,0.440906,0.3653,0.992321977693141,0.04172885978517409,0.0038850038850038,0.002485638297872283
TFIDF,div_semi,0.17350000000000002,0.139619,0.5115,0.43768,0.973585300145718,0.03831007062209881,0.0038850038850038,0.002557446808510584
TFIDF,normal,0.26,0.23278600000000002,0.546418,0.446843,0.9341305458776046,0.036189833536664016,0.0038850038850038,0.0028462765957446316
VGG19,div_cluster,0.231,0.223362,0.538808,0.4349,0.9454651837966215,0.03425791684785281,0.0038850038850038,0.0026561170212765473
VGG19,div_greedy,0.1125,0.092285,0.431357,0.36424799999999996,0.9900919025835617,0.03808413364202735,0.0038850038850038,0.002487234042553136
VGG19,div_semi,0.18350000000000002,0.193608,0.54212,0.5269659999999999,0.970343537203614,0.036639351193754666,0.0038850038850038,0.002565957446808459
VGG19,normal,0.2725,0.25994,0.579498,0.530092,0.9238106336481066,0.03380818680973514,0.0038850038850038,0.002713829787234001
