system,query_id,precision_at_k,recall_at_k,ndcg_at_k,mrr,diversity,novelty,coverage,serendipity
Baseline,EUzw83McYkRkvDgX,0.15,0.2143,0.7613,1.0,0.9657717688771135,0.0351329843745342,0.003885003885003885,0.003138297872340426
Baseline_div_greedy,EUzw83McYkRkvDgX,0.15,0.2143,0.3962,0.125,0.9848262161926855,0.04815009274379911,0.003885003885003885,0.0033510638297872346
Baseline_div_semi,EUzw83McYkRkvDgX,0.15,0.2143,0.4006,0.2,0.9663607372160004,0.09962992097814614,0.003885003885003885,0.0027659574468085106
Baseline_div_cluster,EUzw83McYkRkvDgX,0.15,0.2143,0.5341,0.5,0.9413744150586257,0.0857034305041185,0.003885003885003885,0.003297872340425532
Baseline,jza81pmKApBN39UY,0.1,0.6667,0.8503,1.0,0.9315621532887632,0.029822150975248714,0.003885003885003885,0.006117021276595745
Baseline_div_greedy,jza81pmKApBN39UY,0.1,0.6667,0.321,0.0909,0.9986302294197031,0.03941934640107435,0.003885003885003885,0.002712765957446809
Baseline_div_semi,jza81pmKApBN39UY,0.2,1.3333,0.71,0.5,0.96342922084343,0.04271285000797679,0.003885003885003885,0.002021276595744681
Baseline_div_cluster,jza81pmKApBN39UY,0.3,2.0,0.9353,1.0,0.93189220124832,0.03800293367036745,0.003885003885003885,0.003351063829787234
Baseline,jP4TifLBiphiktrm,0.0,0.0,0.0,0.0,0.9416552015696267,0.03143450841526299,0.003885003885003885,0.00675531914893617
Baseline_div_greedy,jP4TifLBiphiktrm,0.05,0.0161,0.5,0.3333,0.9965434419381788,0.03569963788990804,0.003885003885003885,0.0029787234042553193
Baseline_div_semi,jP4TifLBiphiktrm,0.15,0.0484,0.767,1.0,0.9881282644943635,0.03107195703742514,0.003885003885003885,0.0026063829787234044
Baseline_div_cluster,jP4TifLBiphiktrm,0.1,0.0323,0.8066,1.0,0.9578739605563008,0.03369157843781441,0.003885003885003885,0.003936170212765958
Baseline,HHZPHKq7xyUmIcs0,0.6,0.0173,0.8801,1.0,0.9488313483143695,0.03760929333658851,0.003885003885003885,0.0007978723404255319
Baseline_div_greedy,HHZPHKq7xyUmIcs0,0.2,0.0058,0.5016,0.25,0.9977236842105263,0.03561999358056198,0.003885003885003885,0.0020744680851063828
Baseline_div_semi,HHZPHKq7xyUmIcs0,0.35,0.0101,0.5867,0.3333,0.9729439658596962,0.03346198284257507,0.003885003885003885,0.0023936170212765957
Baseline_div_cluster,HHZPHKq7xyUmIcs0,0.45,0.013,0.7172,0.5,0.968680660450671,0.03943774511958138,0.003885003885003885,0.0017553191489361707
Baseline,dgY2wKP0f5gJ0flp,0.05,0.0061,1.0,1.0,0.9634765614758644,0.04063878838713212,0.003885003885003885,0.004468085106382979
Baseline_div_greedy,dgY2wKP0f5gJ0flp,0.15,0.0182,0.5267,0.5,0.9906161236424396,0.046839623779646476,0.003885003885003885,0.0023936170212765953
Baseline_div_semi,dgY2wKP0f5gJ0flp,0.2,0.0242,0.7008,1.0,0.9772636586748937,0.048788124052757995,0.003885003885003885,0.0034574468085106385
Baseline_div_cluster,dgY2wKP0f5gJ0flp,0.15,0.0182,0.7586,1.0,0.9292547889980516,0.0555259659850915,0.003885003885003885,0.004999999999999999
Baseline,Z7YAH0jFE2i9C2Xm,0.25,0.0055,0.5187,0.3333,0.9534672036362603,0.030667078628049703,0.003885003885003885,0.0019680851063829793
Baseline_div_greedy,Z7YAH0jFE2i9C2Xm,0.05,0.0011,0.2789,0.0909,0.9980733696987567,0.03534152181686194,0.003885003885003885,0.0019148936170212765
Baseline_div_semi,Z7YAH0jFE2i9C2Xm,0.05,0.0011,1.0,1.0,0.9861386255493806,0.04259869151297591,0.003885003885003885,0.0019148936170212765
Baseline_div_cluster,Z7YAH0jFE2i9C2Xm,0.25,0.0055,0.5907,0.3333,0.9450011976842853,0.037816211602191896,0.003885003885003885,0.0007446808510638297
Baseline,hSMhEoHkNC5kdNNs,0.0,0.0,0.0,0.0,0.9559442292549728,0.03595461899330186,0.003885003885003885,0.0058510638297872355
Baseline_div_greedy,hSMhEoHkNC5kdNNs,0.0,0.0,0.0,0.0,0.9974358974358973,0.04554569007082399,0.003885003885003885,0.0026595744680851068
Baseline_div_semi,hSMhEoHkNC5kdNNs,0.0,0.0,0.0,0.0,0.9820381085203066,0.040702572323115326,0.003885003885003885,0.004734042553191489
Baseline_div_cluster,hSMhEoHkNC5kdNNs,0.0,0.0,0.0,0.0,0.9707179927927628,0.05691254693049128,0.003885003885003885,0.006276595744680852
Baseline,oMVBpwDokWhfSrrC,0.35,0.0069,0.5829,0.25,0.9511190553431929,0.03771167655220266,0.003885003885003885,0.0012765957446808512
Baseline_div_greedy,oMVBpwDokWhfSrrC,0.15,0.003,0.523,0.5,0.9959793099038055,0.03476759848338416,0.003885003885003885,0.0018617021276595743
Baseline_div_semi,oMVBpwDokWhfSrrC,0.25,0.005,0.7893,1.0,0.9713907405998864,0.03199612985800209,0.003885003885003885,0.001276595744680851
Baseline_div_cluster,oMVBpwDokWhfSrrC,0.25,0.005,0.4655,0.1667,0.9628488658464727,0.02562984383794843,0.003885003885003885,0.0016489361702127663
Baseline,ArvY2CoiVSULejHX,0.5,0.0144,0.6937,0.3333,0.945302097514871,0.03161809823507553,0.003885003885003885,0.0005319148936170213
