system,query_id,precision_at_k,recall_at_k,ndcg_at_k,mrr,diversity,novelty,coverage,serendipity
Baseline,01rMxQv6vhyE1oQX,0.3,0.004,0.5574,0.3333,0.9641704900038234,0.04815228928681431,0.0019425019425019425,0.002234042553191489
Baseline,02ZnlCGZEbkfCDxo,0.2,0.0022,0.6053,0.5,0.8673533968412149,0.026329511381800168,0.0019425019425019425,0.001702127659574468
Baseline,04OjszRi9rC5BlHC,0.1,0.013,0.4307,0.25,0.981990934990935,0.025751344354470112,0.0019425019425019425,0.000851063829787234
Baseline,04iitW3ffa0mhpx3,0.2,0.0022,0.4575,0.25,0.9500923798469453,0.03853239709774737,0.0019425019425019425,0.0032978723404255327
Baseline,04xUDjAYC14jsHyH,0.0,0.0,0.0,0.0,0.9329027270391369,0.04859504003444955,0.0019425019425019425,0.0060638297872340425
Baseline,06HvNTU9M9lnH71I,0.2,0.0488,0.5438,0.3333,0.9538638041811415,0.0289171415009574,0.0019425019425019425,0.0036170212765957452
Baseline,06WySIW5UDIHF2Ri,0.3,0.0072,0.4998,0.25,0.9580107456087847,0.02972763154869713,0.0019425019425019425,0.001702127659574468
Baseline,07bR4m5Oo4lvHJFW,0.0,0.0,0.0,0.0,0.957150072150072,0.0459765516141496,0.0019425019425019425,0.004680851063829788
Baseline,08dDspNuBDh8GOqV,0.1,0.0108,0.301,0.1111,0.9577801120448179,0.043895894072920036,0.0019425019425019425,0.0015957446808510637
Baseline,09mWmQm7ixF4cCjx,0.1,0.0111,0.2891,0.1,0.9594989001167491,0.0335557623082989,0.0019425019425019425,0.005851063829787234
BERT,01rMxQv6vhyE1oQX,0.2,0.0027,0.3707,0.125,0.9738338821672156,0.025989289870868813,0.0019425019425019425,0.003829787234042553
BERT,02ZnlCGZEbkfCDxo,0.2,0.0022,0.5013,0.25,0.9571823809231477,0.026169082988837765,0.0019425019425019425,0.003404255319148936
BERT,04OjszRi9rC5BlHC,0.6,0.0779,0.8617,1.0,0.9058483531146068,0.02937253402403791,0.0019425019425019425,0.0
BERT,04iitW3ffa0mhpx3,0.5,0.0055,0.9435,1.0,0.9250521051680471,0.026853189551682744,0.0019425019425019425,0.0019148936170212765
BERT,04xUDjAYC14jsHyH,0.0,0.0,0.0,0.0,0.9440642189190669,0.024882686252203377,0.0019425019425019425,0.005212765957446809
BERT,06HvNTU9M9lnH71I,0.2,0.0488,0.5013,0.25,0.857133828981094,0.02078193128929725,0.0019425019425019425,0.004574468085106383
BERT,06WySIW5UDIHF2Ri,0.1,0.0024,0.5,0.3333,0.9541337901864219,0.03609568516498439,0.0019425019425019425,0.005531914893617021
BERT,07bR4m5Oo4lvHJFW,0.0,0.0,0.0,0.0,0.886955613377182,0.04085679463720978,0.0019425019425019425,0.00627659574468085
BERT,08dDspNuBDh8GOqV,0.5,0.0538,0.6337,0.3333,0.9269543561221862,0.043735711200648085,0.0019425019425019425,0.0009574468085106382
BERT,09mWmQm7ixF4cCjx,0.2,0.0222,0.5803,0.5,0.9574788585899696,0.12766592189172835,0.0019425019425019425,0.003936170212765957
ResNet,01rMxQv6vhyE1oQX,0.2,0.0027,0.511,0.3333,0.9683238399027873,0.032314263649477315,0.0019425019425019425,0.00425531914893617
ResNet,02ZnlCGZEbkfCDxo,0.3,0.0033,0.7614,1.0,0.9476813310146642,0.14326743643265336,0.0019425019425019425,0.0015957446808510637
ResNet,04OjszRi9rC5BlHC,0.4,0.0519,0.7701,1.0,0.9161792049380628,0.024887186280234223,0.0019425019425019425,0.0007446808510638298
ResNet,04iitW3ffa0mhpx3,0.6,0.0067,0.75,0.5,0.8769571677414815,0.020022610423800807,0.0019425019425019425,0.0006382978723404256
ResNet,04xUDjAYC14jsHyH,0.1,0.0068,0.3333,0.1429,0.9330770517727041,0.043245233290605346,0.0019425019425019425,0.004680851063829787
ResNet,06HvNTU9M9lnH71I,0.2,0.0488,0.5803,0.5,0.8940552514694392,0.033360456771150446,0.0019425019425019425,0.0027659574468085106
ResNet,06WySIW5UDIHF2Ri,0.3,0.0072,0.4792,0.2,0.895001360295478,0.03428563315722473,0.0019425019425019425,0.003936170212765957
ResNet,07bR4m5Oo4lvHJFW,0.0,0.0,0.0,0.0,0.9544735008331499,0.03630032728945772,0.0019425019425019425,0.0034042553191489357
ResNet,08dDspNuBDh8GOqV,0.4,0.043,0.9223,1.0,0.9292802270675021,0.028103015979191837,0.0019425019425019425,0.000851063829787234
ResNet,09mWmQm7ixF4cCjx,0.3,0.0333,0.8194,1.0,0.9637902837902836,0.1381335040484413,0.0019425019425019425,0.0022340425531914895
